ID	OPC	CUSPS
840	12.75	1
841	51.875	1
842	17.5	1
843	20.25	1
844	34.75	1
845	32.625	1
846	23.25	3
847	19.0	2
848	25.0	1
849	44.875	1
850	27.0	2
851	25.0	3
852	40.5	1
853	37.875	1
854	19.75	2
855	21.0	1
856	41.125	3
857	19.25	1
858	16.75	1
859	38.5	1
860	15.25	1
861	29.75	3
862	26.875	1
863	24.375	2
864	43.25	3
865	25.5	2
866	17.25	1
867	26.0	2
868	21.75	2
869	24.75	2
870	39.625	2
871	18.0	1
872	52.5	1
873	26.75	1
874	27.125	2
875	23.0	1
876	45.5	1
877	15.875	1
878	17.25	1
879	17.5	1
880	77.875	2
881	25.25	1
882	38.25	2
883	20.75	3
884	16.25	1
885	19.625	3
886	21.625	2
887	20.75	1
889	34.75	2
890	17.25	1
891	17.25	1
892	43.0	1
893	48.5	6
894	25.875	3
895	17.0	1
896	26.75	1
897	29.0	2
898	42.0	3
899	24.875	1
900	59.5	1
901	24.0	2
902	33.0	1
903	39.25	2
904	27.0	1
905	34.25	3
906	36.25	1
907	17.5	3
908	21.0	3
909	22.625	3
910	13.125	1
911	28.0	2
912	46.0	2
913	51.625	4
914	22.0	1
915	27.25	3
916	18.75	1
917	22.75	1
918	15.0	1
919	29.0	2
920	39.375	3
921	23.75	3
922	36.25	2
925	19.5	1
926	35.5	3
927	36.0	1
928	30.5	2
929	19.625	2
930	35.5	2
931	31.625	4
932	19.0	1
933	37.875	4
934	52.25	1
935	22.75	1
936	60.375	1
937	27.375	2
938	23.75	1
939	20.75	2
940	31.5	1
941	21.125	3
942	21.625	3
943	16.0	2
944	47.75	3
945	33.25	1
946	18.25	1
947	33.5	2
948	32.0	2
949	31.25	1
950	21.25	1
951	18.5	3
952	25.75	1
953	17.75	1
954	39.75	1
955	59.0	1
956	17.0	1
957	40.5	3
958	26.5	1
959	35.5	1
960	20.5	3
961	33.5	2
962	30.0	1
963	26.75	4
964	18.0	1
965	36.5	1
966	24.625	1
967	24.75	1
968	27.5	1
969	15.75	1
970	16.75	3
971	25.875	3
972	36.25	3
973	15.25	1
974	32.125	2
976	20.75	3
977	21.0	2
978	46.25	1
979	20.875	1
980	24.75	3
981	18.75	3
982	30.375	2
983	17.75	1
984	43.75	3
985	18.125	3
986	43.0	1
987	155.75	1
988	34.25	3
989	46.5	1
990	35.375	2
991	41.875	4
992	79.5	4
993	19.125	1
994	17.625	1
995	31.0	2
996	45.0	2
997	33.875	3
998	28.875	1
999	30.375	3
1001	28.0	1
1002	36.0	1
1003	22.125	1
1004	27.25	3
1005	104.875	1
1006	33.0	1
1007	25.875	3
1008	25.0	1
1009	25.5	2
1010	29.5	2
1011	29.5	2
1012	16.25	2
1013	56.625	1
1014	17.125	1
1015	18.0	2
1016	21.375	3
1017	26.625	1
1018	28.5	2
1019	38.75	2
1020	20.125	1
1021	39.5	1
1022	32.5	1
1023	48.375	3
1024	48.875	1
1025	25.25	2
1026	19.75	1
1027	25.75	2
1028	31.125	1
1029	29.625	3
1030	36.125	3
1031	25.5	3
1032	27.25	1
1033	31.25	1
1034	26.625	3
1035	22.75	1
1036	18.0	1
1037	27.375	1
1038	23.75	3
1039	18.75	1
1040	30.25	1
1041	26.625	1
1042	21.25	2
1043	41.25	3
1044	23.125	1
1045	22.5	2
1046	55.75	3
1047	52.125	5
1048	24.75	1
1049	21.0	1
1050	44.5	1
1051	24.625	2
1052	29.5	1
1053	32.125	3
1054	21.25	1
1055	20.625	3
1056	15.25	1
1057	19.625	3
1058	24.75	2
1059	41.75	1
1060	38.5	1
1061	16.5	2
1062	29.0	2
1063	17.75	2
1064	44.5	2
1065	23.25	1
1066	31.0	3
1067	18.5	1
1068	33.375	2
1069	23.875	2
1070	16.5	1
1071	28.75	1
1072	21.75	2
1073	43.75	3
1074	26.5	1
1075	27.0	1
1076	35.375	1
1077	15.25	2
1078	19.25	1
1079	23.75	2
1080	20.25	2
1081	27.875	1
1082	31.25	1
1083	32.375	3
1084	27.75	2
1085	19.75	1
1086	31.75	3
1087	26.125	3
1088	33.125	1
1089	32.25	3
1090	35.875	3
1091	42.75	1
1092	114.5	3
1093	43.0	1
1094	48.125	1
1095	19.25	1
1096	18.0	1
1097	29.875	1
1098	48.375	1
1099	16.75	1
1100	33.0	3
1101	20.75	3
1102	33.5	3
1103	26.0	1
1104	18.25	1
1105	52.125	2
1106	27.5	2
1107	18.75	1
1108	30.625	3
1109	57.875	2
1110	20.0	1
1111	41.0	3
1112	20.75	3
1113	29.25	2
1114	27.75	1
1115	15.25	1
1116	42.75	1
1117	18.25	1
1118	85.0	4
1119	27.5	1
1120	29.5	2
1121	20.5	3
1122	31.0	3
1123	33.5	1
1124	33.25	1
1125	30.0	1
1126	22.75	1
1127	14.5	1
1128	38.25	1
1129	20.75	3
1130	20.0	3
1131	35.375	2
1132	28.75	1
1133	92.0	2
1134	21.25	2
1135	78.25	2
1136	27.0	3
1137	40.625	4
1138	24.875	1
1139	47.875	1
1140	55.125	1
1141	24.25	3
1142	36.125	1
1143	32.125	3
1144	34.375	3
1145	15.75	1
1146	22.5	3
1147	22.25	1
1148	17.75	3
1149	56.625	1
1150	23.0	2
1151	16.5	1
1152	38.75	1
1153	46.25	3
1154	49.75	5
1155	28.25	1
1156	28.25	2
1157	30.875	2
1158	21.25	3
1159	18.0	2
1160	16.0	1
1161	38.75	3
1162	20.0	1
1163	34.0	2
1164	26.75	1
1165	37.375	1
1166	18.625	1
1167	16.25	1
1168	18.125	1
1169	28.875	1
1170	117.75	1
1171	31.5	2
1172	32.0	1
1173	23.5	2
1174	39.875	1
1175	23.375	2
1176	57.25	1
1177	57.0	1
1178	25.5	1
1179	23.625	2
1180	17.0	1
1181	20.25	3
1182	32.625	3
1183	26.25	1
1184	30.5	2
1185	20.875	3
1186	17.125	1
1187	18.5	1
1188	21.75	3
1189	48.0	2
1190	18.75	1
1191	36.125	1
1192	96.25	1
1193	29.5	2
1194	34.125	2
1195	18.75	3
1196	53.125	1
1197	32.0	1
1198	28.5	1
1199	24.0	2
1200	17.5	1
1201	19.75	1
1202	25.5	3
1203	25.25	2
1204	26.25	2
1205	26.0	2
1206	17.0	1
1207	27.0	3
1208	27.75	2
1209	29.875	2
1210	15.625	1
1211	33.125	2
1212	59.5	5
1213	26.375	1
1214	16.5	1
1215	30.75	1
1216	17.375	1
1217	22.625	1
1218	34.875	1
1219	16.0	1
1220	71.125	1
1221	25.875	2
1222	15.0	1
1223	26.0	2
1224	19.625	3
1225	25.125	1
1226	38.0	1
1227	42.75	2
1228	23.875	2
1229	15.5	2
1230	108.75	1
1231	40.25	1
1232	30.5	3
1233	115.25	1
1234	70.5	3
1235	127.25	1
1236	20.25	1
1237	34.875	2
1238	25.5	1
1239	23.875	2
1240	27.75	2
1241	32.25	1
1242	18.0	1
1243	29.5	3
1244	27.875	2
1245	19.0	1
1246	17.5	1
1247	25.375	3
1248	25.0	3
1249	21.5	3
1250	33.0	2
1251	20.0	1
1252	26.0	1
1253	21.0	1
1254	90.125	1
1255	137.25	1
1257	21.75	3
1258	27.75	1
1259	93.25	1
1260	28.75	1
1261	19.0	1
1262	24.875	2
1263	21.75	2
1264	23.625	1
1265	33.875	3
1266	38.375	1
1267	16.75	1
1268	34.125	2
1269	48.5	5
1270	18.75	1
1271	18.0	1
1272	53.375	3
1273	48.125	4
1274	26.25	2
1275	16.5	1
1276	23.75	1
1277	39.375	2
1278	36.5	1
1279	23.75	1
1280	19.25	1
1281	28.0	3
1282	33.75	2
1283	17.25	1
1284	25.5	2
1285	21.375	1
1286	26.25	3
1287	31.75	1
1288	25.0	2
1289	24.625	3
1290	16.75	1
1291	26.75	3
1292	25.5	1
1293	38.5	1
1294	21.25	1
1295	18.0	3
1296	26.75	1
1297	17.5	3
1298	23.0	1
1299	26.25	1
1300	87.75	1
1301	21.625	2
1302	25.625	3
1303	17.25	1
1304	29.0	1
1305	34.5	5
1306	31.5	3
1307	20.0	2
1308	20.25	2
1309	26.75	3
1310	40.0	1
1311	29.75	1
1312	28.125	1
1313	21.125	1
1314	22.875	3
1315	14.75	1
1316	33.75	1
